long	lat	Ve	Vn
27.21	40.17	-19.4	-9.1
27.11	39.24	-18.4	-11.8
26.99	37.78	-19.3	-24.3
26.93	36.75	-16.5	-27
26.91	40.03	-19.4	-8.9
26.88	40.4	-17.2	-6.7
26.87	40.6	-13.3	-4.4
26.71	39.33	-20.1	-10.6
26.71	40.74	-4	-3.3
26.7	39.31	-18.5	-12.2
26.45	39.23	-20.5	-13.2
26.41	36.59	-14.9	-30.5
26.39	38.31	-17.1	-22.8
26.32	39.78	-19	-9.9
26.22	39.73	-20.2	-10.9
26.21	35.13	-15.8	-28.4
26.19	39.61	-18.2	-10.1
26.17	39.97	-16	-10.5
26.16	39.73	-19.6	-9.6
26.08	38.44	-19.8	-23.4
26.08	39.5	-19.2	-9.1
25.88	40.84	-0.4	-7.7
25.57	40.93	0	-2.6
25.51	40.47	-3.1	-4
25.44	36.35	-16.4	-31
25.38	37.45	-16.6	-26.4
25.13	39.85	-15.5	-13.4
24.69	35.4	-16.5	-26.9
24.63	40.59	-1.4	-3.2
24.54	38.89	-12.6	-24
24.52	36.75	-16.4	-25.2
24.41	37.36	-17.6	-26.2
24.39	38.09	-15.9	-25.9
24.24	41.38	0.3	-2.6
24.07	34.84	-16.1	-30.3
23.93	38.08	-15.7	-26.2
23.93	35.33	-16.6	-24.7
23.92	39.99	0.6	-10.2
23.43	40.79	-0.9	-5.6
23.42	42.48	-2.5	-2.8
22.98	36.31	-15.7	-25.6
22.94	38.89	-8.7	-15
22.82	37.18	-16.8	-28.4
22.54	39.94	1.4	-7.4
21.88	36.79	-18.2	-23.8
20.8	37.67	-10.2	-22.6
20.67	39.73	-1.5	-3.1
20.57	38.61	-3.6	-7.6
20.55	38.37	-1	-8.5
20.19	39.19	-4.1	2.3
19.86	39.75	-4.8	4.1
19.38	39.86	-1.7	3.6
18.46	40.06	8.7	4.7
